@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute orientation-1 numeric
@attribute orientation-2 numeric
@attribute orientation-3 numeric
@attribute outputs-1 numeric

@data
202,'2023/10/29 18:47:22:074',11,0.092782,0.125042,0.046193,0.6
203,'2023/10/29 18:47:22:103',11,0.088185,0.124544,0.055392,0.6
204,'2023/10/29 18:47:22:137',11,0.073868,0.124247,0.064249,0.6
205,'2023/10/29 18:47:22:178',11,0.078758,0.118916,0.060034,0.6
206,'2023/10/29 18:47:22:205',11,0.070302,0.122552,0.059402,0.6
207,'2023/10/29 18:47:22:245',11,0.06861,0.122425,0.06185,0.6
208,'2023/10/29 18:47:22:255',11,0.05991,0.124944,0.064449,0.6
209,'2023/10/29 18:47:22:303',11,0.06117,0.127636,0.062845,0.6
210,'2023/10/29 18:47:22:321',11,0.062353,0.125459,0.063577,0.6
211,'2023/10/29 18:47:22:361',11,0.066506,0.125221,0.060997,0.6
212,'2023/10/29 18:47:22:395',11,0.064577,0.13011,0.061094,0.6
213,'2023/10/29 18:47:22:428',11,0.065913,0.12696,0.061709,0.6
214,'2023/10/29 18:47:22:474',11,0.076364,0.124935,0.059836,0.6
215,'2023/10/29 18:47:22:502',11,0.081419,0.131712,0.061221,0.6
216,'2023/10/29 18:47:22:541',11,0.081165,0.140419,0.056999,0.6
217,'2023/10/29 18:47:22:572',11,0.085395,0.140854,0.048457,0.6
218,'2023/10/29 18:47:22:605',11,0.092795,0.141642,0.053287,0.6
219,'2023/10/29 18:47:22:636',11,0.104337,0.142883,0.054079,0.6
220,'2023/10/29 18:47:22:671',11,0.107958,0.144112,0.058448,0.6
221,'2023/10/29 18:47:22:704',11,0.122347,0.14268,0.059059,0.6
222,'2023/10/29 18:47:22:728',11,0.11966,0.144966,0.055622,0.6
223,'2023/10/29 18:47:22:761',11,0.115205,0.140476,0.049959,0.6
224,'2023/10/29 18:47:22:787',11,0.120489,0.136673,0.043867,0.6
225,'2023/10/29 18:47:22:827',11,0.107204,0.143212,0.058486,0.6
226,'2023/10/29 18:47:27:522',12,0.111973,0.182984,0.024758,0.5
227,'2023/10/29 18:47:27:568',12,0.123339,0.178719,0.021813,0.5
228,'2023/10/29 18:47:27:601',12,0.114769,0.18637,0.02244,0.5
229,'2023/10/29 18:47:27:636',12,0.118922,0.183288,0.024197,0.5
230,'2023/10/29 18:47:27:668',12,0.113658,0.184716,0.026885,0.5
